set,item,exact_matches,normalized_matches,max_jaccard,nearest_plate,nearest_item
stream,124,0,0,0.0136,optmath_bench,45
stream,125,0,0,0.0069,optmath_bench,44
stream,126,0,0,0.0086,optmath_bench,112
stream,127,0,0,0.0357,optmath_bench,119
stream,128,0,0,0.0132,optmath_bench,44
stream,129,0,0,0.0111,optmath_bench,5
stream,130,0,0,0.0031,mamo_complex_test,85
stream,131,0,0,0.1466,optmath_bench,102
stream,132,0,0,0.0111,optmath_bench,96
stream,133,0,0,0.0614,optmath_bench,61
stream,134,0,0,0.0079,optmath_bench,112
stream,135,0,0,0.0317,optmath_bench,102
stream,136,0,0,0.0128,optmath_bench,5
stream,137,0,0,0.0071,optmath_bench,102
stream,138,0,0,0.1291,optmath_bench,26
stream,139,0,0,0.0181,optmath_bench,78
stream,140,0,0,0.0116,optmath_bench,72
stream,141,0,0,0.1567,optmath_bench,42
stream,142,0,0,0.0151,optmath_bench,72
stream,143,0,0,0.0077,optmath_bench,37
stream,144,0,0,0.0112,optmath_bench,27
stream,145,0,0,0.0068,optmath_bench,99
stream,146,0,0,0.0196,optmath_bench,49
stream,147,0,0,0.0665,optmath_bench,80
stream,148,0,0,0.0088,optmath_bench,112
stream,149,0,0,0.0335,optmath_bench,118
stream,150,0,0,0.0414,optmath_bench,33
stream,151,0,0,0.0137,complexor,18
stream,152,0,0,0.0912,optmath_bench,34
stream,153,0,0,0.0129,optmath_bench,72
stream,154,0,0,0.014,optmath_bench,27
stream,155,0,0,0.0067,optmath_bench,85
stream,156,0,0,0.0086,optmath_bench,74
stream,157,0,0,0.0175,optmath_bench,5
stream,158,0,0,0.0071,optmath_bench,107
stream,159,0,0,0.0907,optmath_bench,3
stream,160,0,0,0.0084,optmath_bench,72
stream,161,0,0,0.1057,optmath_bench,125
stream,162,0,0,0.0086,optmath_bench,5
stream,163,0,0,0.0776,optmath_bench,90
stream,164,0,0,0.0105,complexor,3
stream,165,0,0,0.0058,optmath_bench,99
stream,166,0,0,0.004,optmath_bench,113
stream,167,0,0,0.0065,optmath_bench,24
stream,168,0,0,0.0125,complexor,6
stream,169,0,0,0.0058,optibench,240
stream,170,0,0,0.0072,optmath_bench,112
stream,171,0,0,0.0173,optmath_bench,112
stream,172,0,0,0.1051,optmath_bench,102
stream,173,0,0,0.0032,industryor,47
stream,174,0,0,0.0629,optmath_bench,102
stream,175,0,0,0.0041,optmath_bench,35
stream,176,0,0,0.0054,complexor,18
stream,177,0,0,0.0097,optmath_bench,72
stream,178,0,0,0.0064,optmath_bench,133
stream,179,0,0,0.0057,optmath_bench,113
stream,180,0,0,0.0074,optmath_bench,102
stream,181,0,0,0.0629,optmath_bench,9
stream,182,0,0,0.0121,optmath_bench,71
stream,183,0,0,0.0646,optmath_bench,30
stream,184,0,0,0.0136,optmath_bench,112
stream,185,0,0,0.0794,optmath_bench,130
stream,186,0,0,0.0058,optmath_bench,24
stream,187,0,0,0.0118,industryor,31
stream,188,0,0,0.0209,optmath_bench,49
stream,189,0,0,0.0125,optmath_bench,45
stream,190,0,0,0.0046,optmath_bench,133
stream,191,0,0,0.0145,optmath_bench,5
stream,192,0,0,0.0777,optmath_bench,86
stream,193,0,0,0.0158,optmath_bench,112
stream,194,0,0,0.0168,optmath_bench,56
stream,195,0,0,0.0052,optmath_bench,116
stream,196,0,0,0.0083,industryor,31
stream,197,0,0,0.0858,optmath_bench,130
stream,198,0,0,0.0066,optmath_bench,44
stream,199,0,0,0.1795,optmath_bench,92
